Artikel;Netto;Name DE;Text DE;Name EN;Text EN;Name FR;Text FR;Name IT;Text IT;Name SL;Text SL;Name ES;Text ES;Name NL;Text NL;Name DA;Text DA;Name FI;Text FI;Name SV;Text SV;Bild;Rabattgruppe;Gewicht;id;
24-2000289;650,40;Befestigung KWB MultiSun SS 0 Grad;"Stockschrauben-Montageset für die Aufdach-Montage parallel zum Dach für 4 Kollektoren; inkl. 2 Trageprofile und 1 Klemmprofil für die Verbindung von 2 Trageprofilen";Fastening KWB MultiSun SS 0 degrees;"Stair-bolt installation set for mounting on the roof parallel to the roof for 4 collectors; incl. 2 support profiles and 1 clamping profile for the connection of 2 support profiles";Fixation KWB MultiSun SS 0°                                    ;;Fissaggio KWB MultiSun SS 0 gradi;;Pritrditev KWB MultiSun SS 0 stopinj;;Fijación KWB MultiSun SS 0 grados;;;;;;;;;;;Ersatzt;0,00;437549;
24-2000291;169,60;Befestigung KWB FlexiSun DB 0 Grad;"Dachbügel-Montage-Erweiterungsset für die Aufdach-Montage parallel zum Dach für 1 Ergänzungskollektor; inkl. Trageprofil und Klemmprofil für die Verbindung von 2 Trageprofilen";Fastening KWB FlexiSun DB 0 degrees;"Roof bar installation expansion set for mounting on the roof parallel to the roof for 1 additional collector; incl. support profile and clamping profile for the connection of 2 support profiles";Fixation KWB FlexiSun DB 0°                                    ;;Fissaggio KWB FlexiSun DB 0 gradi;;Pritrditev KWB FlexiSun DB 0 stopinj;;Fijación KWB FlexiSun DB 0 grados;;;;;;;;;;;Ersatzt;0,00;437550;
24-2000293;221,70;Befestigung KWB FlexiSun SS 45 Grad;"Stockschrauben-Montage-Erweiterungsset für die Aufdach-Montage geneigt zum Dach oder am Boden für 1 Ergänzungskollektor; inkl. Trageprofil und Klemmprofil für die Verbindung von 2 Trageprofilen";Fastening KWB FlexiSun SS 45 degrees;"Stair-bolt installation expansion set for mounting on the roof at an incline or on the ground for 1 additional collector; incl. support profile and clamping profile for the connection of 2 support profiles";Fixation KWB FlexiSun SS 45°                                   ;;Fissaggio KWB FlexiSun SS 45 gradi;;Pritrditev KWB FlexiSun SS 45 stopinj;;Fijación KWB FlexiSun SS 45 grados;;;;;;;;;;;Ersatzt;0,00;437551;
24-2000297;80,40;Flanschrohr mit Sperrventil DN25, L=130mm;;Flange pipe with stop valve DN25, L=130mm                      ;;Tube à bride avec vanne d'arrêt DN25, L=130mm;;Tubo flangiato con valvola di intercettazione DN25, L=130mm;;Prirobni?na cev z zapornim ventilom DN25, L=130mm;;Tubo abridado con válvula de cierre DN25, L=130mm;;;;;;;;;;;Ersatzt;0,60;437552;
24-2000298;369,90;"Dreiwegemischer 1 1/2""";;"Three-way mixer 1 1/2""                                         ";;"Mélangeur 3 voies 1/2""";;"Miscelatore a tre vie 1 1/2""";;"Tripotni mešalni ventil 1 1/2""";;"Mezclador de tres vías 1 1/2""";;;;;;;;;;;Ersatzt2;1,71;437553;
24-2000299;89,50;Abgleichventil mit Kugelhahn, 2-15l/min;;Balancing valve with ball tap, 2-15 l/min;;Vanne d'équilibrage av. robinet à boisseau sphérique, 2-15l/min;;Valvola di taratura con rubinetto a sfera, 2-15l/min;;Izravnalni ventil s krogli?no pipo, 2–15 l/min;;Bomba Grundfos UPS25/40;;;;;;;;;;;Ersatzt;0,80;437554;
24-2000300;75,50;Sicherheitsgruppe mit Sicherheitsventil, 6bar;;Safety group with safety valve, 6bar;;Groupe de sécurité avec soupape de sécurité, 6 bars;;Gruppo di sicurezza con valvola di sicurezza, 6bar;;Varnostna skupina z izravnalnim ventilom, 6 barov;;Grupo de seguridad con válvula de seguridad, 6 bar;;;;;;;;;;;Ersatzt2;0,84;437555;
24-2000301;219,10;Heizungspumpe UPS25/60 - 130mm 9H;;Heating pump UPS26/60 - 130mm 9H;;Pompe de chauffage UPS25/60 - 130mm 9H;;Pompa di riscaldamento UPS25/60 - 130mm 9H;;?rpalka ogrevanja UPS25/60 - 130mm 9H;;Bomba Grundfos UPS25/60;;;;;;;;;;;Ersatzt2;2,59;437556;
24-2000302;205,60;Stellmotor Lineg (230V), Oventrop;;Servo motor Lineg (230V) Oventrop;;Servomoteur Lineg (230V), Oventrop;;Servomotore Lineg (230V), Oventrop;;Nas. motor Lineg (230V), Oventrop;;Servomotor Lineg (230V), Oventrop;;;;;;;;;;;Ersatzt2;0,57;437557;
24-2000306;33,30;Kleinteileset für Solar Befestigung; ;Small parts set for solar fastening                            ;;Kit petit matériel pour fixation solaire;;Set di minuteria per fissaggio circuito solare;;Komplet malega pribora za pritrditev, solar.;;Juego de piezas pequeñas para fijación Solar;;;;;;;;;;;Ersatzt;0,37;437558;
24-2000307;177,70;Befestigungsersatzteileset für Solar; ;Replacement fastening set for solar                            ;;Kit de pièces de rechange de fixation solaire;;Set minuteria di fissaggio di ricambio per circuito solare;;Komplet nadomestnih delov za pritrditev, solar.;;Juego de piezas de repuesto de fijación para Solar;;;;;;;;;;;Ersatzt;3,08;437559;
24-2000311;48,90;Platine für KWB-FWM 30l/min;;PCB for KWB-FWM 30 l/min.                                      ;;Platine de module d’eau fraîche KWB-FWM 30l/min;;Scheda per KWB-FWM 30l/min;;Vezja za KWB-FWM 30 l/min;;Placa de circuitos para KWB-FWM 30l/min;;;;;;;;;;;Ersatzt;0,03;437560;
24-2000315;99,90;Rohr DN100 mit Flansch;;Pipe DN100 with flange;;Tube DN100 avec bride;;Tubo DN100 con flangia;;Cev DN100 s prirobnico;;Tubo DN100 con brida;;;;;;;;;;;Ersatzt;3,31;437561;
24-2000316;14,80;Tragschale  2m  63mm;;Support tray  2m  63mm;;Structure porteuse  2 m  63 mm;;Struttura portante  2m  63mm;;Nosilni žleb 2 m 63 mm;;Cubierta de apoyo 2m 63mm;;;;;;;;;;;Ersatzt;1,05;437562;
24-2000348;24,20;Tauchhülse für Caleffi;;Immersion sleeve for Caleffi                                   ;;Douille plongeante pour Caleffi                                ;;Manicotto a immersione per Caleffi;;Potopna tulka za Caleffi;;Vaina de inmersión Caleffi;;;;;;;;;;;Ersatzt;0,08;437563;
24-2000349;60,20;Fixe Anschlußverbindung DN20;;Fixed connection DN 20                                         ;;Connexion de raccordement fixe DN20                            ;;Collegamento fisso DN20;;Fiksna priklju?na povezav DN20;;Conexión fija DN20;;;;;;;;;;;Ersatzt;0,56;437564;
24-2000360;309,20;Adapter Kupplung Storz F-150/A-110 drehbar;;Adapter coupling Storz F-150/A-110 rotatable                   ;;Adaptateur raccord Storz F-150/-110 rotatif                    ;;Adattatore giunto Storz F-150/A-110 ruotabile;;Adapterski spojnik Storz F-150/A-110, vrtljivi;;Adaptador acoplamiento Storz F-150/A-110 giratorio;;;;;;;;;;;Ersatzt;3,64;439245;
24-2000367;109,50;3 Wege Mischventilgruppe Oventrop;;Oventrop 3-way mixing valve group                              ;;Groupe de vannes mélangeuses 3 voies Oventrop;;Gruppo miscelatore a 3 vie Oventrop;;3-potni mešalni ventil, skupina, Oventrop;;Grupo de válvulas de mezcla de 3 vías Oventrop;;;;;;;;;;;Ersatzt2;1,20;437565;
24-2000368;33,10;"Gewindetülle 1"" IG mit Überwurfmutter G 1 1/2""  4fach";;"Threaded nozzle 1"" IG with 4x union nuts G 1 1/2""";;"Douille filetée FI 1"" avec écrou F 1 1/2""   4 fois";;"Beccuccio filett. 1"" IG con dado di raccordo G 1 1/2"" quadruplo";;"Navojna tulka 1"" IG s prekrivno matico G 1 1/2"", 4-delna";;"Espiga roscada 1"" IG con tuerca de sombrerete G 1 1/2"" x4";;;;;;;;;;;Ersatzt;0,20;437566;
24-2000369;100,40;"Gewindetülle 5/4"" IG mit Überwurfmutter G 2""  4fach";;"Threaded nozzle 5/4"" IG with 4x union nuts G 2""";;"Douille filetée FI 5/4"" avec écrou F 2""   4 fois";;"Beccuccio filett. 5/4"" IG con dado di raccordo G 2"" quadruplo";;"Navojna tulka 5/4"" IG s prekrivno matico G 2"", 4-delna";;"Espiga roscada 5/4"" IG con tuerca de sombrerete G 2"" x4";;;;;;;;;;;Ersatzt;0,20;437567;
24-2000371;133,50;"Dreiwegemischer Grauguss 1"" für Belimo";;"Cast iron three-way mixer 1"" for Belimo                        ";;"Mélangeur 3 voies fonte grise 1"" pour Belimo";;"Miscelatore a tre vie in ghisa grigia 1"" per Belimo";;"Tripotni mešalnik iz sive litine, 1"" za Belimo";;"Mezclador de tres vías de fundición gris 1"" para Belimo";;;;;;;;;;;Ersatzt;1,71;437568;
24-2000372;144,20;"Dreiwegemischer Messing  5/4"" für Belimo";;"Cast iron three-way mixer 5/4"" for Belimo                      ";;"Mélangeur 3 voies fonte grise 5/4"" pour Belimo";;"Miscelatore a tre vie in ghisa grigia 5/4"" per Belimo";;"Tripotni mešalnik iz sive litine, 5/4"" za Belimo";;"Mezclador de tres vías de fundición gris 5/4"" para Belimo";;;;;;;;;;;Ersatzt;1,71;437569;
24-2000373;160,20;"Dreiwegemischer Grauguss 1 1/2"" für Belimo";;"Cast iron three-way mixer 1/1/2"" for Belimo                    ";;"Mélangeur 3 voies fonte grise 1 1/2"" pour Belimo";;"Miscelatore a tre vie in ghisa grigia 1 1/2"" per Belimo";;"Tripotni mešalnik iz sive litine, 1 1/2"" za Belimo";;"Mezclador de tres vías de fundición gris 1 1/2"" para Belimo";;;;;;;;;;;Ersatzt;1,71;437570;
24-2000374;234,90;"Dreiwegemischer  2"" für Belimo";;"Cast iron three-way mixer 2"" for Belimo                        ";;"Mélangeur 3 voies fonte grise 2"" pour Belimo";;"Miscelatore a tre vie in ghisa grigia 2"" per Belimo";;"Tripotni mešalnik iz sive litine, 2"" za Belimo";;"Mezclador de tres vías de fundición gris 2"" para Belimo";;;;;;;;;;;Ersatzt;1,71;437571;
24-2000376;790,10;Isolierung für KWB EmpaEco 500 l - silbergrau;;Insulation for KWB EmpaEco 500 l - silver-grey                 ;;Isolation pour KWB EmpaEco 500 l - gris argenté                ;;Isolamento per KWB EmpaEco 500 l grigio argento;;;;;;;;;;;;;;;Ersatzt;30,00;439643;
24-2000379;120,70;Isolierung für 24-2000347;;Insulation for 24-2000347                                      ;;Isolation pour 24-2000347                                      ;;Isolamento per 24-2000347;;Izolacija za 24-2000347;;Aislamiento para 24-2000347;;;;;;;;;;;Ersatzt;2,59;437572;
24-2000384;66,80;Regusol Pumpenkugelhahn mit Sperrventil;;Regusol pump spherical valve with stop valve                   ;;Rob. pompe à boisseau sph. Regusol avec vanne d’arrêt;;Rubinetto pompa Regusol con valvola di intercettazione;;Regusol, krogli?na pipa ?rpalke z zapornim ventilom;;Llave esférica para bomba con válvula de cierre Regusol;;;;;;;;;;;Ersatzt2;2,59;437573;
24-2000385;472,80;Dreifachverteiler Stahl;;Three-way distributor, steel                                   ;;Distributeur triple acier                                      ;;Distributore triplo acciaio;;;;;;;;;;;;;;;Ersatzt;9,60;437574;
24-2000386;18,20;Wandhalterung für 2-fach Verteiler;;Wall bracket for 2-way distributor;;Support mural pour distributeur double                         ;;Supporto a parete per distributore doppio;;Stenski nosilec za 2-delni razdelilnik;;Soporte mural para distribuidor doble;;;;;;;;;;;Ersatzt;0,50;437575;
24-2000387;375,00;Brauchwasserspeicherladegruppe;;DWHC charging assembly                                         ;;Groupe de chargement de réservoir d'eau industrielle           ;;Gruppo di caricamento accumulatore di acqua calda sanitaria;;Sklop za polnjenje s sanitarno vodo;;Grupo de carga para acumulador de agua sanitaria;;;;;;;;;;;Ersatzt;6,20;437576;
24-2000393;187,10;"2-Wege Drehventil mit Antrieb kvs 4 R 3/4"" IG DN 20";;"2-way rotary valve with drive, kvs 4 R 3/4"" IG DN 20           ";;"Vanne rotative 2 voies avec entraînement kvs 4 R FI 3/4"" DN 20";;"Valvola rotante a 2 vie con azionamento kvs 4 R 3/4"" IG DN 20";;"2-potni ventil s pogonom, kvs 4 R 3/4"" IG DN 20";;"Válvula giratoria 2 vías con accionam. kvs 4 R 3/4"" IG DN 20";;;;;;;;;;;Ersatzt;0,87;437577;
24-2000394;187,10;"2-Wege Drehventil mit Antrieb kvs 6,3 R 3/4"" IG DN 20";;"2-way rotary valve with drive, kvs 6.3 R 3/4"" IG DN 20         ";;"Vanne rotative 2 voies av. entraînement kvs 6,3 R FI 3/4"" DN 20";;"Valvola rotante a 2 vie con azionamento kvs 6,3 R 3/4"" IG DN 20";;"2-potni ventil s pogonom, kvs 6,3 R 3/4"" IG DN 20";;"Válvula giratoria 2 vías con accionam. kvs 6,3 R 3/4"" IG DN 20";;;;;;;;;;;Ersatzt;0,87;437578;
24-2000396;255,00;Energiesparzugregler DM130mm mit Explosionsklappe;;Energy saving draught controller Ø130mm with explosion flap;;Régulateur de tirage (dia. 130mm) à clapet anti-déflagration;;Reg. di tiraggio a risp. energ. DM 130mm con valvola di sfogo;;Energijsko var?ni reg. vleka, premer 130 mm z eksploz. loputo;;Reg. tiro bajo consumo 130mm con puerta seg. explosión;;;;;;;;;;;Ersatzt;0,90;437579;
24-2000406;146,80;Schutzanode für EmpaTherm 300Liter;;Protective anode for EmpaTherm 300 litre                       ;;Anode de protection pour EmpaTherm 300 litres                  ;;Anodo di protezione per EmpaTherm 300litri;;Zaš?itna anoda za EmpaTherm 300 l;;Ánodo protector para EmpaTherm 300 litros;;;;;;;;;;;Ersatzt;0,75;437580;
24-2000408;147,10;Schutzanode für EmpaTherm 500Liter;;Protective anode for EmpaTherm 500 litre                       ;;Anode de protection pour EmpaTherm 500 litres                  ;;Anodo di protezione per EmpaTherm 500litri;;Zaš?itna anoda za EmpaTherm 500 l;;Ánodo protector para EmpaTherm 500 litros;;;;;;;;;;;Ersatzt;0,75;437581;
24-2000416;57,30;VLD Dichtungssatz Frischwassermodul  5186;;VLD seal set for fresh water module                            ;;Set de joints VLD module d’eau fraîche                         ;;Set di guarnizioni VLD modulo acqua fresca;;Tesnilni set VLD za modul za svežo vodo;;Juego de juntas VLD módulo de agua fresca;;;;;;;;;;;Ersatzt;0,10;437582;
24-2000417;114,90;"Zirkulationsadapter 3/4"" inkl. Rückflussverhinderer FWM";;"Circulation adapter 3/4"" incl. backflow preventer, FWM         ";;"Adap.bouclage ECS3/4"" av.clapet anti-retour mod.eau fraîche FWM";;"Adattatore di circolazione 3/4"" incl. valvola antiriflusso FWM";;"Obto?ni adapter 3/4"" s prepre?evalnikom povratnega toka FWM";;"Adaptador circulación 3/4"" incl. dispositivo antirretorno FWM";;;;;;;;;;;Ersatzt;1,34;437583;
24-2000419;60,20;Abdeckkappen Isolierung EmpaCompact + Eco;;Cover caps insulation EmpaCompact + Eco;;Capuchons de recouvrement isolation EmpaCompact + Eco          ;;Cappucci di copertura isolamento EmpaCompact + Eco;;Pokrivna loputa, izolacija EmpaCompact + Eco;;Tapones aislamiento EmpaCompact + Eco;;;;;;;;;;;Ersatzt;0,48;437584;
24-2000420;236,60;"Kugelhahnset 1"" für FWM roter und blauer Flügelgriff 5119, 5120";;"Spherical valve set 1"" for FWM red and blue winged handle      ";;"Set robinet bois.sph.1"" p. mod. eau fr. FWM poignée pap. ro/ble";;"Set rubinetti a sfera 1"" p. FWM maniglia a farfalla rossa e blu";;"Komplet krogelne pipe 1"" za ro?aj FWM z rde?im in modrim krilom";;"Juego de llaves esféricas 1"" maneta de aletas FWM roja y azul";;;;;;;;;;;Ersatzt;1,20;437585;
24-2000423;33,10;O-Ring Dichtungssatz Frischwassermodul 18-teilig;;VLD seal set for fresh water module 17pcs                      ;;Set de joints VLD module d’eau fraîche 17 pièces               ;;Set di guarnizioni VLD modulo acqua fresca 17 pz.;;Tesnilni set VLD za modul za svežo vodo, 17-delni;;Juego de juntas VLD módulo de agua fresca, 17 uds.;;;;;;;;;;;Ersatzt;0,11;437586;
24-2000424;166,90;Dreiwegemischer für Regumat M3 DN 25;;Three-way mixer for Regumat M3 DN 25                           ;;Mélangeur 3 voies pour Regumat M3 DN 25;;Miscelatore a tre vie per Regumat M3 DN 25;;Tripotni mešalni ventil za Regumat M3 DN 25;;Mezclador de tres vías para Regumat M3 DN 25;;;;;;;;;;;Ersatzt;1,79;437587;
24-2000425;198,10;Dreiwegemischer für Regumat M3 DN 32;;Three-way mixer for Regumat M3 DN 32                           ;;Mélangeur 3 voies pour Regumat M3 DN 32;;Miscelatore a tre vie per Regumat M3 DN 32;;Tripotni mešalni ventil za Regumat M3 DN 32;;Mezclador de tres vías para Regumat M3 DN 32;;;;;;;;;;;Ersatzt2;0,15;437588;
24-2000426;11,40;Verschlussdeckel STORZ A-110, mit Belüftung;;Closing cap STORZ A-110 with ventilation function ;;Couvercle de fermeture STORZ A-110 avec ventilation;;Coperchio STORZ A-110 ventilato;;Zaporni pokrov STORZ A-110 s funkcijo prezra?evanja;;Tapa de cierre STORZ A-110 con respiradero;;;;;;;;;;;;0,38;437589;
24-2000430;21,70;Klemmringverschraubungsset DN25 Mssg für Regusol L 130;;Clamp ring screw set DN 25 brass for Regusol L 130;;Kit raccord à bague de blocage DN 25 laiton pour Regusol L 130;;Set viti anelli di serraggio DN25 ottone per Regusol L 130;;Komplet objemk za pritrditev DN 25 Mssg za Regusol L 130;;Juego de racores anulares DN 25 de latón para Regusol L 130;;;;;;;;;;;Ersatzt;0,15;437590;
24-2000435;917,10;Pufferspeicherladegruppe DN 25;;Buffer storage loading group STORZ DN 25;;Groupe de chargement de ballon-tampon DN 25;;Gruppo di caricamento serbatoio tampone DN 25;;Skupina za polnjenje vmesnega hranilnika DN 25;;Grupo de carga depósito de inercia DN 25;;;;;;;;;;;Ersatzt;7,70;437591;
24-2000438;787,50;KWB FlexiSun FK8250N; ;KWB FlexiSun FK8250N;;KWB FlexiSun FK8250N;;KWB FlexiSun FK8250N;;KWB FlexiSun FK8250N;"Ploski solarni kolektor KWB FlexiSun FK8250N površine 2,51 m2
Aluminijasti celopovršinski zbiralnik z izredno selektivno modro vakuumsko oblogo, 40 mm izolacije iz kamene volne, oja?ene s ?rnimi steklenimi vlakni, visoko u?inkovitim okvirjem iz aluminija, odpornega proti vplivom slane vode, in kaljenega solarnega stekla debeline 3,2 mm, z merami: 2.150 x 1.170 x 84 mm, teža praznega kolektorja: 39,5 kg";KWB FlexiSun FK8250N;;;;;;;;;;;Ersatzt;34,60;437592;
24-2000439;814,90;KWB FlexiSun FK8250L; ;KWB FlexiSun FK8250L;;KWB FlexiSun FK8250L;;KWB FlexiSun FK8250L;;KWB FlexiSun FK8250L;;KWB FlexiSun FK8250L;;;;;;;;;;;Ersatzt;34,60;437593;
24-2000442;266,90;Solar Ausdehnungsgefäß 50 Liter; ;Solar expansion container 50 litres;;Vase d'expansion solaire 50 litres;;Vaso di espansione circuito solare 50 litri;;Solarna raztezna posoda 50 l;;Recipiente de expansión Solar 50 litros;;;;;;;;;;;Ersatzt2;10,99;437594;
24-2000446;332,60;3- Wege Umschaltventil DN25;;Reversing valve;;Vanne de commutation;;Valvola di commutazione;;Preklopni ventil;;Válvula de inversión;;;;;;;;;;;Ersatzt;1,24;437595;
24-2000447;167,60;Stockschrauben Grundset 45 Grad Kollekto; ;Stair bolt basic set 45 degrees collector L; ;;;Vite prigioniere set base 45° collettore L; ;;;;;;;;;;;;;;Ersatzt;3,78;437596;
24-2000448;172,30;Stockschrauben Erweiterungsset 45 Grad K; ;Stair bolt expansion set 45 degrees collector L; ;;;Vite prigioniere set di ampliamento 45° collettore L; ;;;;;;;;;;;;;;Ersatzt;3,78;437597;
24-2000449;111,50;Stockschrauben Grundset 0 Grad Kollektor; ;Stair bolt basic set 0 degrees collector L; ;;;Vite prigioniere set base 0° collettore L; ;;;;;;;;;;;;;;Ersatzt;3,78;437598;
24-2000450;116,10;Stockschrauben Erweiterungsset 0 Grad; ;Stair bolt expansion set 0 degrees; ;;;Vite prigioniere set di ampliamento 0°; ;;;;;;;;;;;;;;Ersatzt;1,60;437599;
24-2000451;87,80;Dachbügelmontage Grundset 0 Grad; ;Roof clamp mounting basic set 0 degrees; ;;;Montaggio con staffa a soffitto set base 0°; ;;;;;;;;;;;;;;Ersatzt;3,46;437600;
24-2000452;91,90;Dachbügelmontage Erweiterungsset 0 Grad; ;Roof clamp mounting expansion set 0 degrees; ;;;Montaggio con staffa a soffitto set di ampliamento 0°; ;;;;;;;;;;;;;;Ersatzt;1,30;437601;
24-2000492;111,50;Trageprofil für die Befestigung von einem Flachkollektor; ;Support profile for the mounting of a flat plate collector;;Profilé support de fixation d'un capteur plan;;Profilo portante per il fissaggio di un collettore piatto;;Nosilni profil za pritrditev enega ploskega kolektorja;;Perfil de soporte para fijar un colector plano;;;;;;;;;;;Ersatzt;5,10;437602;
24-2000501;81,10;Verschraubungen für Anschlussset KWB EF 8-35 KW;;Screw connections for connector set KWB EF 8-35 KW;;Raccords filetés pour kit de raccordement KWB EF 8-35 KW;;Raccordi a vite per set di collegamento KWB EF 8-35 KW;;Vija?ni spoji za komplet priklju?kov KWB EF 8–35 KW;;Racores para juego de conexión KWB EF 8-35 KW;;;;;;;;;;;Ersatzt;6,80;438539;
24-2000502;567,30;Regusol L-130 Zweistrang Solararmaturengruppe DN25;;Regusol L-130 Two-strand solar armature group DN25;;Robinetterie solaire bitube Regusol L-130 DN25;;Regusol L-130 gruppo di raccordi stazione solare bifase DN25 ;;Regusol L-130, skupina solarne ?rpalke za dva kroga DN25;;Grupo de valvulería solar de dos vías Regusol L-130 DN25;;;;;;;;;;;Ersatzt;7,53;437603;
24-2000503;60,20;Absperrhahn Zirkulationspumpe;;Stop valve circulation pump;;Robinet d'arrêt de pompe de bouclage ECS;;Rubinetto di chiusura pompa di circolazione;;Zaporna pipa, obto?na ?rpalka;;Grifo de bloqueo bomba de circulación;;;;;;;;;;;Ersatzt;0,30;437604;
24-2000504;2,80;Solardichtung DN 20;;Solar seal DN 20;;Joint solaire DN 20;;Guarnizione solare DN 20;;Solarno tesnilo DN 20;;Junta Solar DN 20;;;;;;;;;;;Ersatzt;0,01;437605;
24-2000505;853,10;"Heizkreis - / Rücklauftemperaturanhebungsgruppe 1""";;"Return flow temperature boost group 1""";"/ Heating circuit group 1""";"Groupe maintien de temp. de retour 1/grp circuit de chauf. 1""";;"Gruppo mantenim. temp. di ritorno 1""/ circuito calorico 1""";;;;;;;;;;;;;;;Ersatzt;8,20;437606;
24-2000506;1.217,30;"Rücklauftemperaturanhebungsgruppe 5/4""";;"Return flow temperature boost group 5/4""";;"Groupe de maintien de la température de retour 5/4""";;"Gruppo di innalzamento della temperatura di ritorno 5/4""";;"Sklop za dvig temperature povratnega voda 5/4""";;"Grupo de aumento temperatura de retorno 5/4""";;;;;;;;;;;Ersatzt;8,20;437607;
24-2000507;600,60;Brauchwasserspeicher-Ladegruppe Regumat;;DHWC loading group S-180;;Groupe de charge chauffe-eau S-180;;Gruppo di caricam. per accumul. dell'acqua calda sanit. S-180;;Skupina za polnjenje hranilnika sanitarne vode S-180;;Grupo de carga de acumulador de agua caliente sanitaria S-180;;;;;;;;;;;Ersatzt;6,45;437608;
24-2000508;764,90;Pufferspeicherladegruppe DN 25;;Buffer storage loading group STORZ DN 25;;Groupe de chargement de ballon-tampon DN 25;;Gruppo di caricamento serbatoio tampone DN 25;;Skupina za polnjenje vmesnega hranilnika DN 25;;Grupo de carga depósito de inercia DN 25;;;;;;;;;;;Ersatzt;9,85;437609;
24-2000509;1.025,10;1 Heizkreisgruppe DN20 mit Isolierung;;1 heating circuit group DN20 with insulation for storage tanks;;1 groupe circuit de chauffage DN20 avec isolation pour ballon;;1 gruppo circuiti calorici DN20 con isolamento per accumulatore;;1 skupina ogrevalnih krogov DN20 z izolacijo za hranilnik;;;;;;;;;;;;;Ersatzt;8,20;437610;
24-2000510;2.007,20;2 Heizkreisgruppen DN20 mit Isolierung;;2 heating circuit groups DN20 with insulation for storage tanks;;;;2 gruppi circuiti calorici DN20 con isolamento per accumulatore;;2 skupini ogrevalnih krogov DN20 z izolacijo za hranilnik;;;;;;;;;;;;;Ersatzt;16,05;437611;
24-2000512;144,10;"Ventileinsatz 1"" DK für Frischwassermodul";;"Valve insert 1"" DK for fresh water module";;"Garniture de vanne 1"" DK pour module d'eau fraîche";;"Inserto valvola 1"" DK per modulo acqua fresca";;"Ventilski vložek 1"" DK za modul za svežo vodo";;"Válvula de 1"" DK para módulo de agua fresca";;;;;;;;;;;Ersatzt2;0,17;437612;
24-2000514;30,10;Thermometer für EmpaTherm;;Thermometer for EmpaTherm 300l;;Thermomètre pour EmpaTherm 300l;;Termometro per EmpaTherm 300l;;Termometer za EmpaTherm 300l;;Termómetro para EmpaTherm 300l;;;;;;;;;;;Ersatzt;0,10;437613;
24-2000516;141,10;Entlüfterstrang DN 25 für Regusol L-130 Solararmaturengruppe;;Bleeder line DN 25 for Regusol L-130 solar fittings group;;Tube purgeur air DN 25 pr grp robinet. solaire Regusol L-130;;;;;;;;;;;;;;;;;Ersatzt;2,59;438804;
24-2000529;86,80;Isolierung für Regumat 180;;Insulation for Regumat 180;;Isolation de Regumat 180;;Isolamento per Regumat 180;;Izolacija za Regumat 180;;Aislamiento para Regumat 180;;;;;;;;;;;Ersatzt;0,25;437614;
24-2000530;23,50;Ersatz-Thermometer für Regumat DN 25;;Replacement thermometer for Regumat DN 25;;Thermomètre de rechange pour Regumat M3 DN 25;;Termometro sostitutivo per Regumat DN 25;;Nadomestni termometer za Regumat DN 25;;Termómetro de repuesto para Regumat DN 25;;;;;;;;;;;Ersatzt;0,05;437615;
24-2000532;78,30;Strangregulierventil mit Durchflussanzeige für Regumat;;Line regulating valve with flow volume display for Regumat;;Vanne de réglage 2 voies avec affichage de débit pour Regumat;;Valvola di piede colonna con indicaz. della portata per Regumat;;Krmilni ventil kroga s prikazom pretoka za Regumat;;Válvula regul. ramal con indicador de caudal para Regumat;;;;;;;;;;;Ersatzt;0,50;437616;
24-2000543;11,40;Montageleiste für Pufferisolierungen;;Installation strip for buffer insulation;;Patte de montage d'isolations de tampons;;Listello di montaggio per isolamento tampone;;Montažna letev za izolacijo vmesnega hranilnika;;Barra de montaje para aislamientos de dep. inercia;;;;;;;;;;;Ersatzt;0,03;439603;
24-2000544;18,70;Anbausatz für Belimo - LK 840;zur Rücklauftemperaturanhebung, bestehend aus 3-Wege-Mischer und Stellmotor. Geeignet für eine Kesselleistung von 80 bis 150 kW.;;;;;;;;;;;;;;;;;;;;Ersatzt;0,05;439615;
24-2000545;60,20;Isolierung Oventrop-Gruppen Baulänge 130;;Insulation Oventrop groups construction length 130;;Isolation groupes Oventrop longueur 130;;Isolamento gruppi Oventrop lunghezza di installazione 130;;Izolacija skupin Oventrop, vgradna dolžina 130;;Aislamiento para grupos Oventrop de longitud 130;;;;;;;;;;;Ersatzt;2,20;437617;
24-2000546;247,80;Wilo Yonos Para RS 15/6 RKA (Pumpenlänge 130 mm);;Wilo Yonos Para 15/6 RKA (pump length 130 mm);;Wilo Yonos Para RS 15/6 RKA (longueur de pompe 130 mm);;Wilo Yonos Para RS 15/6 RKA (lunghezza pompa 130 mm);;Wilo Yonos Para RS 15/6 RKA (dolžina crpalke 130 mm);;Wilo Yonos Para RS 15/6 RKA (bomba de 130 mm de longitud);;;;;;;;;;;Ersatzt2;2,20;437618;
24-2000547;253,40;Wilo Para 25-130/6-43/Sc 9H (Pumpenläng 130);;Wilo Yonos Para RS 25/6 RKC (pump length 130 mm);;Wilo Yonos Para RS 25/6 RKC (longueur de pompe 130 mm);;Wilo Yonos Para RS 25/6 RKC (lunghezza pompa 130 mm);;Wilo Yonos Para RS 25/6 RKC (dolžina crpalke 130 mm);;Wilo Yonos Para RS 25/6 RKC (bomba de 130 mm de longitud);;;;;;;;;;;Ersatzt2;2,20;437619;
